danceability,loudness,speechiness,acousticness,liveness,instrumentalness,type
0.594,-12.275,0.0357,0.24,0.16699999999999998,0.324,1
0.762,-7.303999999999999,0.0569,0.885,0.125,0.604,1
0.47700000000000004,-8.356,0.0354,0.401,0.162,0.611,1
0.632,-13.367,0.0925,0.303,0.145,0.006670000000000001,1
0.695,-11.915,0.0428,0.889,0.13,0.9159999999999999,1
0.695,-10.752,0.0524,0.648,0.121,1.24e-05,1
0.6759999999999999,-8.725,0.17600000000000002,0.919,0.105,0.889,1
0.588,-13.652000000000001,0.0459,0.20199999999999999,0.16,0.9259999999999999,1
0.5710000000000001,-13.164000000000001,0.0334,0.5539999999999999,0.0928,0.7759999999999999,1
0.633,-10.021,0.0323,0.609,0.129,0.455,1
0.637,-7.803,0.0371,0.067,0.133,0.9329999999999999,1
0.523,-5.382000000000001,0.19399999999999998,0.44799999999999995,0.12300000000000001,0.00402,1
0.65,-7.564,0.0574,0.37799999999999995,0.157,0.877,1
0.61,-13.56,0.0357,0.684,0.12300000000000001,0.9390000000000001,1
0.6659999999999999,-11.86,0.071,0.25,0.139,0.0,1
0.804,-6.803999999999999,0.213,0.588,0.10099999999999999,0.40399999999999997,1
0.664,-10.315,0.0352,0.813,0.174,0.84,1
0.75,-15.897,0.153,0.573,0.105,0.866,1
0.688,-9.64,0.0355,0.34600000000000003,0.115,0.21600000000000003,1
0.534,-9.994,0.11900000000000001,0.526,0.124,0.914,1
0.43700000000000006,-10.071,0.0461,0.7829999999999999,0.54,0.9129999999999999,1
0.654,-11.493,0.0504,0.386,0.35200000000000004,0.865,1
0.638,-11.195,0.0389,0.935,0.11,0.9470000000000001,1
0.669,-12.886,0.0448,0.57,0.129,1.84e-05,1
0.767,-10.19,0.0439,0.8170000000000001,0.111,0.955,1
0.45799999999999996,-9.647,0.0281,0.773,0.138,0.00021099999999999998,1
0.789,-9.672,0.0593,0.38299999999999995,0.10300000000000001,0.0221,1
0.353,-9.464,0.0656,0.5920000000000001,0.131,0.000241,1
0.685,-10.135,0.257,0.527,0.0973,0.19399999999999998,1
0.48200000000000004,-9.828,0.0271,0.0169,0.17,9.89e-05,1
0.616,-9.649,0.0401,0.397,0.12300000000000001,0.772,1
0.599,-8.504,0.0264,0.0538,0.192,0.9570000000000001,1
0.532,-7.644,0.0426,0.052000000000000005,0.11699999999999999,0.7559999999999999,1
0.625,-12.789000000000001,0.0309,0.616,0.138,0.9840000000000001,1
0.6409999999999999,-6.372000000000001,0.03,0.129,0.12,0.857,1
0.645,-9.115,0.0323,0.066,0.146,0.898,1
0.6709999999999999,-10.364,0.17300000000000001,0.295,0.124,0.204,1
0.7040000000000001,-9.925,0.0838,0.102,0.113,0.903,1
0.58,-9.698,0.0516,0.215,0.107,0.698,1
0.762,-7.303999999999999,0.0569,0.885,0.125,0.604,1
0.588,-13.652000000000001,0.0459,0.20199999999999999,0.16,0.9259999999999999,1
0.695,-10.752,0.0524,0.648,0.121,1.24e-05,1
0.47,-16.631,0.0365,0.94,0.115,0.807,1
0.523,-5.382000000000001,0.19399999999999998,0.44799999999999995,0.12300000000000001,0.00402,1
0.65,-7.564,0.0574,0.37799999999999995,0.157,0.877,1
0.804,-6.803999999999999,0.213,0.588,0.10099999999999999,0.40399999999999997,1
0.534,-9.994,0.11900000000000001,0.526,0.124,0.914,1
0.654,-11.493,0.0504,0.386,0.35200000000000004,0.865,1
0.638,-11.195,0.0389,0.935,0.11,0.9470000000000001,1
0.669,-12.886,0.0448,0.57,0.129,1.84e-05,1
0.767,-10.19,0.0439,0.8170000000000001,0.111,0.955,1
0.45799999999999996,-9.647,0.0281,0.773,0.138,0.00021099999999999998,1
0.353,-9.464,0.0656,0.5920000000000001,0.131,0.000241,1
0.685,-10.135,0.257,0.527,0.0973,0.19399999999999998,1
0.48200000000000004,-9.828,0.0271,0.0169,0.17,9.89e-05,1
0.616,-9.649,0.0401,0.397,0.12300000000000001,0.772,1
0.599,-8.504,0.0264,0.0538,0.192,0.9570000000000001,1
0.532,-7.644,0.0426,0.052000000000000005,0.11699999999999999,0.7559999999999999,1
0.625,-12.789000000000001,0.0309,0.616,0.138,0.9840000000000001,1
0.6409999999999999,-6.372000000000001,0.03,0.129,0.12,0.857,1
0.6709999999999999,-10.364,0.17300000000000001,0.295,0.124,0.204,1
0.7040000000000001,-9.925,0.0838,0.102,0.113,0.903,1
